ID_Stock;Date;Close_Price;Price_Return
375.0;2015-07-17;11.6393;0.0329
376.0;2015-07-17;35.8228;-0.5471
377.0;2015-07-17;28.5966;-0.1471
378.0;2015-07-17;46.7662;-1.2931
379.0;2015-07-17;104.1059;-1.1912
381.0;2015-07-17;41.8333;-0.9306
382.0;2015-07-17;67.6547;-0.2168
384.0;2015-07-17;25.369;-0.7937
386.0;2015-07-17;44.326;-2.2763999999999998
389.0;2015-07-17;80.5674;-0.8774
390.0;2015-07-17;55.369;-2.0102
397.0;2015-07-17;101.482;-0.2266
398.0;2015-07-17;89.4264;1.9021
399.0;2015-07-17;26.0732;-1.2511
400.0;2015-07-17;89.3;0.0784
401.0;2015-07-17;16.8061;-0.4227
402.0;2015-07-17;10.3403;0.8746
403.0;2015-07-17;180.751;0.5472
404.0;2015-07-17;80.2829;-0.1179
405.0;2015-07-17;9.5591;-0.3454
413.0;2015-07-17;82.0407;-0.6303
416.0;2015-07-17;25.3732;-1.4381
418.0;2015-07-17;43.354;-0.2583
419.0;2015-07-17;136.3464;0.883
420.0;2015-07-17;100.671;-0.6264
422.0;2015-07-17;37.7304;-0.9769
423.0;2015-07-17;16.6389;0.0497
424.0;2015-07-17;101.521;-1.2303
425.0;2015-07-17;163.27;-0.0408
427.0;2015-07-17;22.0528;-0.1259
428.0;2015-07-17;59.6961;-0.5032
430.0;2015-07-17;38.5206;-1.1619
432.0;2015-07-17;20.7853;-0.5204
433.0;2015-07-17;86.7494;-1.0187
434.0;2015-07-17;45.9849;0.1473
436.0;2015-07-17;30.347;-2.1663
437.0;2015-07-17;23.4058;0.1518
438.0;2015-07-17;45.0846;-1.2362
439.0;2015-07-17;91.999;6.537
442.0;2015-07-17;54.3043;-0.2326
443.0;2015-07-17;69.038;-1.0934
444.0;2015-07-17;11.2816;-0.1143
445.0;2015-07-17;12.612;-1.5162
448.0;2015-07-17;95.2545;0.3303
449.0;2015-07-17;18.4804;-0.3667
451.0;2015-07-17;28.8655;-1.3636
453.0;2015-07-17;49.1408;-2.3066
455.0;2015-07-17;64.042;1.1175
457.0;2015-07-17;35.014;0.3369
458.0;2015-07-17;64.2345;-1.5621
461.0;2015-07-17;114.1073;-0.5029
462.0;2015-07-17;74.3847;-0.1822
463.0;2015-07-17;122.3;-1.1238
464.0;2015-07-17;70.4615;-0.1164
467.0;2015-07-17;83.4836;-0.7054
468.0;2015-07-17;42.4688;-0.7059
469.0;2015-07-17;41.7162;-0.9867
472.0;2015-07-17;51.1346;-0.8321
473.0;2015-07-17;53.04;0.0755
476.0;2015-07-17;76.5987;0.2294
477.0;2015-07-17;51.2283;-1.1844000000000001
478.0;2015-07-17;41.6648;-0.0229
479.0;2015-07-17;175.35;-0.2182
480.0;2015-07-17;37.4396;-1.0264
482.0;2015-07-17;61.094;-1.0259
483.0;2015-07-17;115.531;0.3134
488.0;2015-07-17;50.218;-0.3058
489.0;2015-07-17;54.629;-0.6731
492.0;2015-07-17;21.8227;-2.8842
493.0;2015-07-17;48.8437;0.171
495.0;2015-07-17;52.7503;-0.3074
497.0;2015-07-17;72.7309;-0.7029
498.0;2015-07-17;149.228;1.7816999999999998
499.0;2015-07-17;21.4576;-1.7619
501.0;2015-07-17;92.914;0.2713
502.0;2015-07-17;21.5218;-3.34
505.0;2015-07-17;73.15;-0.732
506.0;2015-07-17;84.766;-0.3679
507.0;2015-07-17;223.324;-0.2383
508.0;2015-07-17;84.6097;0.0456
513.0;2015-07-17;50.1421;0.0
516.0;2015-07-17;41.922;-0.364
518.0;2015-07-17;42.0905;-0.0857
519.0;2015-07-17;39.8778;-0.3819
520.0;2015-07-17;20.12;2.6007
523.0;2015-07-17;193.57;-0.8401
525.0;2015-07-17;63.67;-0.7343
526.0;2015-07-17;37.7183;-0.1906
527.0;2015-07-17;101.163;-0.6863
530.0;2015-07-17;46.687;0.2721
531.0;2015-07-17;106.0071;-0.0089
532.0;2015-07-17;35.2238;0.7266
533.0;2015-07-17;40.8865;-0.0221
534.0;2015-07-17;53.1561;-0.7421
536.0;2015-07-17;29.76;-3.2016999999999998
538.0;2015-07-17;20.3693;-0.0449
541.0;2015-07-17;46.9895;-0.0578
543.0;2015-07-17;40.2204;-1.1037
545.0;2015-07-17;12.8662;1.1398
547.0;2015-07-17;27.078;-0.2562
548.0;2015-07-17;114.77;-0.898
550.0;2015-07-17;34.6775;-0.7376
551.0;2015-07-17;34.14;-3.2861000000000002
552.0;2015-07-17;19.0848;-3.2273
553.0;2015-07-17;13.6013;1.0232
555.0;2015-07-17;22.555;-0.7469
557.0;2015-07-17;53.1511;0.4095
558.0;2015-07-17;14.3093;-2.4249
559.0;2015-07-17;35.3408;-0.1042
560.0;2015-07-17;62.6534;-1.0815
561.0;2015-07-17;76.0889;0.3972
562.0;2015-07-17;69.0014;-0.9408
563.0;2015-07-17;155.485;-0.5122
564.0;2015-07-17;9.9813;0.2563
567.0;2015-07-17;36.354;-1.3176
568.0;2015-07-17;19.4873;-0.5944
569.0;2015-07-17;238.69;-0.1172
570.0;2015-07-17;55.9501;-0.8
574.0;2015-07-17;62.3706;0.4765
575.0;2015-07-17;28.011;-1.4397
576.0;2015-07-17;37.0875;-1.3672
578.0;2015-07-17;47.7819;-1.7984
580.0;2015-07-17;85.2202;-0.4132
581.0;2015-07-17;102.1;-0.0179
582.0;2015-07-17;23.9673;-1.0185
583.0;2015-07-17;113.2316;-1.1522999999999999
585.0;2015-07-17;52.23;-1.6173
588.0;2015-07-17;125.68;-0.0954
589.0;2015-07-17;101.8637;-0.7801
590.0;2015-07-17;40.4607;-0.2438
591.0;2015-07-17;39.7107;-0.9601
596.0;2015-07-17;12.7128;-1.2812999999999999
597.0;2015-07-17;26.4689;0.037
599.0;2015-07-17;82.903;-0.1238
600.0;2015-07-17;51.1984;-0.1337
602.0;2015-07-17;28.6233;-0.0855
604.0;2015-07-17;65.8504;0.6331
605.0;2015-07-17;69.6462;0.0361
606.0;2015-07-17;49.8805;-1.2261
607.0;2015-07-17;124.335;-1.3147
608.0;2015-07-17;15.7932;-1.1715
609.0;2015-07-17;40.0102;-0.8019
611.0;2015-07-17;193.4;0.4518
612.0;2015-07-17;68.363;-0.1132
613.0;2015-07-17;43.4096;-0.5086
614.0;2015-07-17;69.594;-0.0729
616.0;2015-07-17;27.0484;3.6448
617.0;2015-07-17;33.6177;0.0
619.0;2015-07-17;72.209;-0.86
620.0;2015-07-17;34.2773;-1.1459
621.0;2015-07-17;164.481;-0.8942
622.0;2015-07-17;18.5753;-1.9522
625.0;2015-07-17;78.86;-1.7198
626.0;2015-07-17;53.316;-0.3253
627.0;2015-07-17;27.922;-1.1224
628.0;2015-07-17;65.7065;-0.8258
632.0;2015-07-17;117.3374;-1.6768
633.0;2015-07-17;41.9215;-6.6869
635.0;2015-07-17;91.2745;-0.6169
637.0;2015-07-17;37.3307;-0.4449
638.0;2015-07-17;79.06;-1.8984999999999999
640.0;2015-07-17;551.98;0.0816
641.0;2015-07-17;8.6218;-2.5987
642.0;2015-07-17;36.4281;0.0491
645.0;2015-07-17;37.056;0.2405
646.0;2015-07-17;51.2591;-1.451
647.0;2015-07-17;109.699;0.1943
648.0;2015-07-17;88.796;0.0754
651.0;2015-07-17;171.39;-0.0678
652.0;2015-07-17;49.8613;-1.3029
653.0;2015-07-17;76.6384;0.395
654.0;2015-07-17;98.865;-0.4749
656.0;2015-07-17;93.9709;-0.6075
662.0;2015-07-17;75.4143;-0.013
663.0;2015-07-17;72.81;0.5385
664.0;2015-07-17;55.1153;-1.1246
666.0;2015-07-17;47.6715;-0.8683
667.0;2015-07-17;58.049;-0.0405
669.0;2015-07-17;32.6331;0.0863
671.0;2015-07-17;62.13;-2.8606
672.0;2015-07-17;48.7528;-0.3781
674.0;2015-07-17;87.132;-1.4437
676.0;2015-07-17;252.095;1.8298
677.0;2015-07-17;139.3701;0.0358
678.0;2015-07-17;143.265;-0.2017
680.0;2015-07-17;94.8151;0.5275
683.0;2015-07-17;93.457;-0.1381
684.0;2015-07-17;145.76;0.5566
686.0;2015-07-17;33.7337;-1.0687
687.0;2015-07-17;33.1053;0.5496
688.0;2015-07-17;21.06;-3.9234
690.0;2015-07-17;27.9405;-2.8124000000000002
692.0;2015-07-17;97.097;0.1306
693.0;2015-07-17;13.267;-4.1721
694.0;2015-07-17;50.3315;-0.0897
695.0;2015-07-17;77.6059;0.9075
696.0;2015-07-17;69.6687;0.1009
697.0;2015-07-17;136.42;-1.7995999999999999
698.0;2015-07-17;91.9842;0.0407
702.0;2015-07-17;39.7804;-1.323
708.0;2015-07-17;31.7198;0.5811
709.0;2015-07-17;20.4543;-0.9311
710.0;2015-07-17;31.9825;-0.9082
714.0;2015-07-17;26.5107;-1.3932
715.0;2015-07-17;71.5376;-0.3764
716.0;2015-07-17;18.3792;-1.1364
721.0;2015-07-17;58.73;-0.4745
722.0;2015-07-17;35.62;-0.3915
725.0;2015-07-17;42.6077;0.0
726.0;2015-07-17;43.4045;-0.4997
727.0;2015-07-17;133.408;-0.6659
728.0;2015-07-17;134.81;-0.3054
729.0;2015-07-17;82.8559;-1.181
730.0;2015-07-17;84.8535;-1.4504000000000001
731.0;2015-07-17;186.7689;1.0533
733.0;2015-07-17;42.732;0.2737
734.0;2015-07-17;87.9825;0.6175
737.0;2015-07-17;90.932;-0.3389
739.0;2015-07-17;81.9734;1.1743999999999999
740.0;2015-07-17;34.1079;-1.6846999999999999
741.0;2015-07-17;32.6481;-0.7591
744.0;2015-07-17;39.2712;-1.1738
747.0;2015-07-17;39.437;-0.0218
749.0;2015-07-17;45.0557;2.191
751.0;2015-07-17;86.3678;1.4369
754.0;2015-07-17;82.058;0.1231
